"DDAIF.Open","DDAIF.High","DDAIF.Low","DDAIF.Close","DDAIF.Volume","DDAIF.Adjusted","Avg_volume_10","Avg_volume_20","Avg_volume_60","Range","perc_change_closing","change_from_yest","moving_avg_10","moving_avg_20","moving_avg_60","perc_moving_avg_10","perc_moving_avg_20","perc_moving_avg_60","cash_tradet","avg_cash_trated_10","avg_cash_trated_20","avg_cash_trated_60","Avg_Dollar_volume_pct_10","Avg_Dollar_volume_pct_20","Avg_Dollar_volume_pct_60","nightgap","night_gap_perc","perc_range_previous","perc_range_atpr","perc_range_williams","one_month_range_perc","EMA10","EMA20","EMA60","WMA10","EVWMA10","ZLEMA10","VWAP10","HMA10","ALMA10"
47.130001,48.310001,45.959999,47.75,2494300,31.816391,1375240,NA,NA,2.350002,-5.16384926172192,-2.599998,1.5650002,NA,NA,150.159853014715,NA,NA,119102825,67715837.90622,NA,NA,175.886216109363,NA,NA,-3.219997,-6.39522766217389,26.3829137166692,4.92147015706805,23.8298095065451,NA,48.2701515273683,NA,NA,48.9630901636364,49.0344700394013,48.0289881336794,48.3602398310549,NA,49.4196073071075
46.75,49.16,46.580002,49.099998,2066900,32.715916,1412140,NA,NA,2.579998,2.82722094240838,1.349998,1.6020001,NA,NA,161.048554241663,NA,NA,101484785.8662,70130382.16263,NA,NA,144.708730705132,NA,NA,-1,-2.09424083769634,91.0852644071818,5.25457862544108,2.32566071756634,NA,47.9628516133014,NA,NA,48.5765451272727,48.6752181245318,47.0846276548286,48.5505861804425,NA,48.5529057758907
47.470001,48.16,46.990002,47.119999,1657400,31.396612,1455800,NA,NA,1.169998,-4.032584685645,-1.979999,1.6199997,NA,NA,72.2221121398974,NA,NA,78096686.3426,72032599.71897,NA,NA,108.418530841992,NA,NA,-1.629997,-3.31974962605904,29.9147519910293,2.48301787952075,88.8891263061985,NA,47.7859698654284,NA,NA,48.2287273454546,48.483359544727,46.5983325357688,48.4190875809383,NA,47.6282865585861
45.369999,47,44.880001,46.900002,1308800,31.250032,1503530,NA,NA,2.119999,-0.466886682234436,-0.219996999999999,1.6919998,NA,NA,125.295463982915,NA,NA,61382722.6176,74113152.06388,NA,NA,82.8229820325179,NA,NA,-1.75,-3.71392198034639,72.1699868726353,4.52025353858194,4.71688901740045,NA,47.257611889896,NA,NA,47.5156366181818,48.1696926632322,45.3359088929018,48.1159421926466,NA,46.8095843069749
46.91,47.669998,45.93,46.07,1035300,30.696989,1511230,NA,NA,1.739998,-1.76972700342316,-0.830002,1.7879997,NA,NA,97.3153407128648,NA,NA,47696271,74028989.47222,NA,NA,64.4291801631284,NA,NA,0.00999799999999595,0.0213176963190662,48.2759175585257,3.77685695680486,91.9540137402456,NA,47.0162279099149,NA,NA,47.0561820909091,48.0162577913567,44.7211984578287,47.8340354341034,NA,46.3010238224563
48.439999,49.93,48.09,49.889999,1210700,33.242302,1528560,NA,NA,1.84,8.29172780551336,3.819999,1.8459995,NA,NA,99.6749999119717,NA,NA,60401821.7893,74771169.85115,NA,NA,80.7822345290897,NA,NA,2.369999,5.14434339049273,78.8043478260873,3.68811392439594,2.17396739130417,NA,47.2114591990212,NA,NA,47.0670912181818,48.0220985625403,45.435526283678,47.6387635922437,NA,46.2274272911974
49.98,50.290001,48.830002,49.189999,888300,32.775883,1479840,1440990,NA,1.459999,-1.40308681906368,-0.700000000000003,1.8129993,1.77049965,NA,80.5294850362048,82.4625410120808,NA,43695476.1117,72219201.46232,69977470.114825,NA,60.5039590952801,62.4422060986211,NA,0.0900009999999938,0.180398881146487,54.1096945956811,2.96808097109332,75.3426543442837,28.5711451251665,47.5057397082901,47.82650025,NA,47.2656370363636,48.0705943880008,46.5181585048275,47.5242564681114,NA,46.6593023306227
49.009998,51.169998,48.93,49.150002,859100,32.749241,1452390,1446290,NA,2.239998,-0.0813112437753853,-0.0399969999999996,1.8449993,1.8354996,NA,121.40915175415,122.037509569602,NA,42224766.7182,70647848.42078,70158513.226045,NA,59.7679443352732,60.1848083384482,NA,-0.180000999999997,-0.365930074525916,6.25018415195003,4.55747285625746,90.1784733736369,17.4604484754787,47.7646961249646,47.9315954642857,NA,47.4970915272727,48.1214288994797,47.346674776677,47.4531992039122,NA,47.4465125520813
49.369999,50.779999,49.139999,50.73,734800,33.802002,1337450,1387180,NA,1.63999999999999,3.21464483358515,1.579998,1.8679993,1.8669995,NA,87.7944654476046,87.8414804074664,NA,37276404,64769837.22078,67339102.330195,NA,57.5521038796755,55.3562532170631,NA,0.219996999999999,0.447603237127029,82.9268902439026,3.23280110388329,3.04871951219511,126.190355253404,48.0147511931529,48.0466815153061,NA,47.7770912909091,48.1773895193057,48.2554605445539,47.0870545491121,NA,48.2247196309849
50.639999,50.849998,49.740002,50.560001,1045400,33.688725,1330100,1346140,NA,1.109996,-0.335105460279908,-0.169998999999997,1.8249988,1.85749935,NA,60.8217386225133,59.7575444642822,NA,52855425.0454,64421718.4491,65565511.095845,NA,82.0459719452554,80.6146770794402,NA,-0.0900009999999938,-0.177411787896696,7.20705299838947,2.19540343759092,26.1259500034233,65.0791824139964,48.3284331580342,48.207950132896,NA,48.1947279636364,48.3002039759118,49.3135592637259,47.1262327190211,47.6550532445887,48.8035356233315
